comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
"Muze aaisa lagta hai ki tuze maturity Level kam hai kaise hasta hai <a href=""https://www.youtube.com/watch?v=jaxnhctcvXg&amp;t=444"">7:24</a> C.....",1,0,1,0,0,0
"Is this mock for internship or job <br>Or is it just for practice (mock kind )<br>If it is interview,then kindly let me know",0,0,0,0,0,0
"Please take my interview in core java or In android kotlin, if it finds suitable to you , you can consider me",0,0,0,0,0,0
bhai tu pahle sahi se baith ja,1,0,0,0,0,0
What a funny interview it was😂😂😂😂😂,0,0,1,0,1,0
Ma&#39;am can you upload video for full stack developer interview with HR and technical questions which type of asked in interview...... Please one video upload 😊😊,0,0,0,0,0,0
Bhai baithane ka tarika Thora kaisual hai... Lag rha hai samne wale ka interview aaphi le rahe😅😅 hai...,0,0,0,0,0,0
bhai interview kam aisa lag raha hai ki college ka pehla din hai aur sab mujh se mere baare m puch rahe hai aur wo bhi nahi bata paa raha hu,0,0,0,0,0,0
"Aisa interview hoga to apun sidha google nikalega<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",0,0,0,0,0,0
"<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>",0,0,0,0,0,0
After laughing he start in hindi 😅😅,0,0,0,0,0,0
Very Funny Interview,0,0,0,0,0,0
kuch bhi bolo raha bhai.   isko training nahi train main baitha hun aur Panvel bhejo,0,0,0,0,0,0
